Year,GDP per Capita
1960,102.0798677
1961,98.53525056
1962,103.7966527
1963,106.5388113
1964,110.3920209
1965,105.9676527
1966,118.79696
1967,120.8265161
1968,127.5024629
1969,132.1049576
1970,139.7572736
1971,149.4640262
1972,171.0050917
1973,196.623957
1974,224.9295883
1975,238.7464875
1976,246.3818154
1977,308.3125532
1978,351.533533
1979,399.1130894
1980,448.8330243
1981,408.3466712
1982,369.3870535
1983,330.9007565
1984,330.1540534
1985,315.390882
1986,359.0680033
1987,381.7059903
1988,386.3559486
1989,369.9833572
1990,370.1001417
1991,340.8064509
1992,332.9499104
1993,226.5211543
1994,273.5217948
1995,336.5653496
1996,436.1957036
1997,462.4045369
1998,483.7086323
1999,430.3672599
2000,411.8213521
2001,408.3606087
2002,401.0923701
2003,441.3914117
2004,462.6182158
2005,522.7768402
2006,699.3997383
2007,840.1916319
2008,915.9989157
2009,1049.121794
2010,1093.639624
2011,1099.315465
2012,1289.780791
2013,1376.829205
2014,1489.919721
2015,1496.653573
2016,1562.076619
2017,1675.988422
2018,1845.783414
2019,1970.08007
2020,1936.250755
2021,2069.661129
2022,2099.298568
2023,1949.898969
